Tanggal,Positif (Indonesia),Dirawat (Indonesia),Sembuh (Indonesia),Meninggal (Indonesia),Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Positif Harian (Indonesia),Dirawat Harian (Indonesia),Sembuh Harian (Indonesia),Meninggal Harian (Indonesia),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
13/11/2020 ,"457,735","57,604","385,094","15,037","2,428","107,147","5,028","1,604","116,207","6,632","5,444","2,330","3,010",104,14,958,150,-89,"1,033",61
14/11/2020 ,"463,007","59,765","388,094","15,148","2,441","108,209","4,710","2,102","117,462","6,812","5,272","2,161","3,000",111,13,"1,062",-318,498,"1,255",180
15/11/2020 ,"467,113","59,911","391,991","15,211","2,448","109,181","4,952","2,046","118,627","6,998","4,106",146,"3,897",63,7,972,242,-56,"1,165",186
16/11/2020 ,"470,648","59,909","395,443","15,296","2,455","110,221","4,420","2,537","119,633","6,957","3,535",-2,"3,452",85,7,"1,040",-532,491,"1,006",-41
17/11/2020 ,"474,455","60,426","398,636","15,393","2,459","111,096","4,355","2,761","120,671","7,116","3,807",517,"3,193",97,4,875,-65,224,"1,038",159
18/11/2020 ,"478,720","60,870","402,347","15,503","2,470","111,948","4,619","2,781","121,818","7,400","4,265",444,"3,711",110,11,852,264,20,"1,147",284
19/11/2020 ,"483,518","61,306","406,612","15,600","2,484","112,833","4,633","3,053","123,003","7,686","4,798",436,"4,265",97,14,885,14,272,"1,185",286
20/11/2020 ,"488,310","62,080","410,552","15,678","2,501","113,739","4,616","3,387","124,243","8,003","4,792",774,"3,940",78,17,906,-17,334,"1,240",317
21/11/2020 ,"493,308","63,579","413,955","15,774","2,515","114,863","5,323","3,121","125,822","8,444","4,998","1,499","3,403",96,14,"1,124",707,-266,"1,579",441
22/11/2020 ,"497,668","63,596","418,188","15,884","2,531","115,939","5,529","3,165","127,164","8,694","4,360",17,"4,233",110,16,"1,076",206,44,"1,342",250
23/11/2020 ,"502,110","63,722","422,386","16,002","2,548","117,003","5,592","3,030","128,173","8,622","4,442",126,"4,198",118,17,"1,064",63,-135,"1,009",-72
24/11/2020 ,"506,302","64,878","425,313","16,111","2,567","118,062","5,518","3,041","129,188","8,559","4,192","1,156","2,927",109,19,"1,059",-74,11,"1,015",-63
25/11/2020 ,"511,836","65,804","429,807","16,225","2,584","119,099","6,000","2,778","130,461","8,778","5,534",926,"4,494",114,17,"1,037",482,-263,"1,273",219
26/11/2020 ,"516,753","66,752","433,649","16,352","2,597","120,287","5,876","2,765","131,525","8,641","4,917",948,"3,842",127,13,"1,188",-124,-13,"1,064",-137
27/11/2020 ,"522,581","68,604","437,456","16,521","2,614","121,082","6,653","2,612","132,961","9,265","5,828","1,852","3,807",169,17,795,777,-153,"1,436",624
28/11/2020 ,"527,999","69,370","441,983","16,646","2,632","122,328","6,921","2,450","134,331","9,371","5,418",766,"4,527",125,18,"1,246",268,-162,"1,370",106
29/11/2020 ,"534,266","71,658","445,793","16,815","2,652","123,163","7,608","2,339","135,762","9,947","6,267","2,288","3,810",169,20,835,687,-111,"1,431",576
30/11/2020 ,"538,883","71,420","450,518","16,945","2,671","124,078","7,823","2,289","136,861","10,112","4,617",-238,"4,725",130,19,915,215,-50,"1,099",165
01/12/2020 ,"543,975","72,015","454,879","17,081","2,689","125,102","7,937","2,191","137,919","10,128","5,092",595,"4,361",136,18,"1,024",114,-98,"1,058",16
02/12/2020 ,"549,508","73,429","458,880","17,199","2,710","126,163","8,202","2,010","139,085","10,212","5,533","1,414","4,001",118,21,"1,061",265,-181,"1,166",84
03/12/2020 ,"557,877","77,969","462,553","17,355","2,734","127,136","8,155","2,213","140,238","10,368","8,369","4,540","3,673",156,24,973,-47,203,"1,153",156
04/12/2020 ,"563,680","80,023","466,178","17,479","2,757","128,051","8,073","2,389","141,270","10,462","5,803","2,054","3,625",124,23,915,-82,176,"1,032",94
05/12/2020 ,"569,707","81,669","470,449","17,589","2,779","129,067","8,623","2,161","142,630","10,784","6,027","1,646","4,271",110,22,"1,016",550,-228,"1,360",322
06/12/2020 ,"575,796","83,285","474,771","17,740","2,799","130,136","8,819","2,207","143,961","11,026","6,089","1,616","4,322",151,20,"1,069",196,46,"1,331",242
07/12/2020 ,"581,550","84,481","479,202","17,867","2,823","131,071","9,473","2,060","145,427","11,533","5,754","1,196","4,431",127,24,935,654,-147,"1,466",507
08/12/2020 ,"586,842","85,345","483,497","18,000","2,842","132,248","9,650","1,861","146,601","11,511","5,292",864,"4,295",133,19,"1,177",177,-199,"1,174",-22
09/12/2020 ,"592,900","87,284","487,445","18,171","2,860","133,318","9,703","1,957","147,838","11,660","6,058","1,939","3,948",171,18,"1,070",53,96,"1,237",149
10/12/2020 ,"598,933","88,622","491,975","18,336","2,880","134,366","9,391","2,381","149,018","11,772","6,033","1,338","4,530",165,20,"1,048",-312,424,"1,180",112
11/12/2020 ,"605,243","89,846","496,886","18,511","2,902","135,545","9,078","2,725","150,250","11,803","6,310","1,224","4,911",175,22,"1,179",-313,344,"1,232",31
12/12/2020 ,"611,631","91,602","501,376","18,653","2,922","136,489","8,822","2,968","151,201","11,790","6,388","1,756","4,490",142,20,944,-256,243,951,-13
13/12/2020 ,"617,820","93,165","505,836","18,819","2,941","137,605","8,679","3,274","152,499","11,953","6,189","1,563","4,460",166,19,"1,116",-143,306,"1,298",163
14/12/2020 ,"623,309","93,396","510,957","18,956","2,963","138,988","8,994","3,120","154,065","12,114","5,489",231,"5,121",137,22,"1,383",315,-154,"1,566",161
15/12/2020 ,"629,429","93,662","516,656","19,111","2,990","140,225","8,643","3,264","155,122","11,907","6,120",266,"5,699",155,27,"1,237",-351,144,"1,057",-207
16/12/2020 ,"636,154","94,922","521,984","19,248","3,010","141,365","8,263","3,705","156,343","11,968","6,725","1,260","5,328",137,20,"1,140",-380,441,"1,221",61
17/12/2020 ,"643,508","97,139","526,979","19,390","3,027","142,741","7,851","4,414","158,033","12,265","7,354","2,217","4,995",142,17,"1,376",-412,709,"1,690",297
18/12/2020 ,"650,197","98,688","531,995","19,514","3,048","143,959","7,673","4,940","159,620","12,613","6,689","1,549","5,016",124,21,"1,218",-178,526,"1,587",348
19/12/2020 ,"657,948","102,029","536,260","19,659","3,068","145,066","8,112","5,273","161,519","13,385","7,751","3,341","4,265",145,20,"1,107",439,333,"1,899",772
20/12/2020 ,"664,930","103,239","541,811","19,880","3,087","146,958","8,057","5,009","163,111","13,066","6,982","1,210","5,551",221,19,"1,892",-55,-264,"1,592",-319
21/12/2020 ,"671,778","104,809","546,884","20,085","3,097","148,308","8,366","4,806","164,577","13,172","6,848","1,570","5,073",205,10,"1,350",309,-203,"1,466",106
22/12/2020 ,"678,125","105,146","552,722","20,257","3,115","149,691","8,620","4,462","165,888","13,082","6,347",337,"5,838",172,18,"1,383",254,-344,"1,311",-90
23/12/2020 ,"685,639","106,528","558,703","20,408","3,130","151,122","8,643","4,947","167,842","13,590","7,514","1,382","5,981",151,15,"1,431",23,485,"1,954",508
24/12/2020 ,"692,838","108,269","563,980","20,589","3,146","152,491","8,833","5,305","169,775","14,138","7,199","1,741","5,277",181,16,"1,369",190,358,"1,933",548
25/12/2020 ,"700,097","108,946","570,304","20,847","3,167","154,242","8,720","5,742","171,871","14,462","7,259",677,"6,324",258,21,"1,751",-113,437,"2,096",324
26/12/2020 ,"706,837","109,150","576,693","20,994","3,182","156,798","9,439","4,510","173,929","13,949","6,740",204,"6,389",147,15,"2,556",719,"-1,232","2,058",-513
27/12/2020 ,"713,365","108,452","583,676","21,237","3,204","158,615","9,655","4,452","175,926","14,107","6,528",-698,"6,983",243,22,"1,817",216,-58,"1,997",158
28/12/2020 ,"719,219","107,789","589,978","21,452","3,226","159,878","9,919","4,581","177,604","14,500","5,854",-663,"6,302",215,22,"1,263",264,129,"1,678",393
29/12/2020 ,"727,122","108,636","596,783","21,703","3,246","161,337","10,018","5,059","179,660","15,077","7,903",847,"6,805",251,20,"1,459",99,478,"2,056",577
30/12/2020 ,"735,124","109,439","603,741","21,944","3,266","162,911","9,882","5,654","181,713","15,536","8,002",803,"6,958",241,20,"1,574",-136,595,"2,053",459
31/12/2020 ,"743,198","109,963","611,097","22,138","3,287","164,881","9,746","5,821","183,735","15,567","8,074",524,"7,356",194,21,"1,970",-136,167,"2,022",31
01/01/2021 ,"751,270","111,005","617,936","22,329","3,308","166,512","10,082","5,789","185,691","15,871","8,072","1,042","6,839",191,21,"1,631",336,-32,"1,956",304
02/01/2021 ,"758,473","110,400","625,518","22,555","3,334","168,781","10,872","4,599","187,586","15,471","7,203",-605,"7,582",226,26,"2,269",790,"-1,190","1,895",-400
03/01/2021 ,"765,350","110,679","631,937","22,734","3,345","170,510","10,978","4,410","189,243","15,388","6,877",279,"6,419",179,11,"1,729",106,-189,"1,657",-83
04/01/2021 ,"772,103","110,089","639,103","22,911","3,369","173,036","10,371","4,299","191,075","14,670","6,753",-590,"7,166",177,24,"2,526",-607,-111,"1,832",-718
05/01/2021 ,"779,548","110,693","645,746","23,109","3,392","174,131","10,897","4,479","192,899","15,376","7,445",604,"6,643",198,23,"1,095",526,180,"1,824",706
06/01/2021 ,"788,402","112,593","652,513","23,296","3,410","175,441","12,196","4,254","195,301","16,450","8,854","1,900","6,767",187,18,"1,310","1,299",-225,"2,402","1,074"
07/01/2021 ,"797,723","114,766","659,437","23,520","3,435","176,882","12,781","4,601","197,699","17,382","9,321","2,173","6,924",224,25,"1,441",585,347,"2,398",932
08/01/2021 ,"808,340","117,704","666,883","23,753","3,463","179,562","13,397","4,236","200,658","17,633","10,617","2,938","7,446",233,28,"2,680",616,-365,"2,959",251
09/01/2021 ,"818,386","120,928","673,511","23,947","3,485","181,613","13,076","5,237","203,411","18,313","10,046","3,224","6,628",194,22,"2,051",-321,"1,001","2,753",680
10/01/2021 ,"828,026","122,873","681,024","24,129","3,517","184,576","13,166","4,863","206,122","18,029","9,640","1,945","7,513",182,32,"2,963",90,-374,"2,711",-284
11/01/2021 ,"836,718","123,636","688,739","24,343","3,551","187,086","13,541","4,405","208,583","17,946","8,692",763,"7,715",214,34,"2,510",375,-458,"2,461",-83
12/01/2021 ,"846,765","126,313","695,807","24,645","3,589","188,675","14,591","4,397","211,252","18,988","10,047","2,677","7,068",302,38,"1,589","1,050",-8,"2,669","1,042"
13/01/2021 ,"858,043","129,628","703,464","24,951","3,634","191,635","15,009","4,450","214,728","19,459","11,278","3,315","7,657",306,45,"2,960",418,53,"3,476",471
14/01/2021 ,"869,600","133,149","711,205","25,246","3,675","193,719","15,852","4,647","217,893","20,499","11,557","3,521","7,741",295,41,"2,084",843,197,"3,165","1,040"
15/01/2021 ,"882,418","138,238","718,696","25,484","3,710","195,924","15,553","5,247","220,434","20,800","12,818","5,089","7,491",238,35,"2,205",-299,600,"2,541",301
16/01/2021 ,"896,642","143,517","727,358","25,767","3,745","198,136","17,524","4,565","223,970","22,089","14,224","5,279","8,662",283,35,"2,212","1,971",-682,"3,536","1,289"
17/01/2021 ,"907,929","145,482","736,460","25,987","3,779","201,907","16,741","4,938","227,365","21,679","11,287","1,965","9,102",220,34,"3,771",-783,373,"3,395",-410
18/01/2021 ,"917,015","144,798","745,935","26,282","3,815","204,711","16,419","4,781","229,726","21,200","9,086",-684,"9,475",295,36,"2,804",-322,-157,"2,361",-479
19/01/2021 ,"927,380","146,842","753,948","26,590","3,836","209,238","14,604","4,611","232,289","19,215","10,365","2,044","8,013",308,21,"4,527","-1,815",-170,"2,563","-1,985"
20/01/2021 ,"939,948","149,388","763,703","26,857","3,868","210,983","16,389","4,835","236,075","21,224","12,568","2,546","9,755",267,32,"1,745","1,785",224,"3,786","2,009"
21/01/2021 ,"951,651","151,658","772,790","27,203","3,900","213,570","16,966","4,790","239,226","21,756","11,703","2,270","9,087",346,32,"2,587",577,-45,"3,151",532
22/01/2021 ,"965,283","156,683","781,147","27,453","3,940","215,719","17,752","5,607","243,018","23,359","13,632","5,025","8,357",250,40,"2,149",786,817,"3,792","1,603"
23/01/2021 ,"977,474","158,751","791,059","27,664","3,980","219,287","18,657","4,379","246,303","23,036","12,191","2,068","9,912",211,40,"3,568",905,"-1,228","3,285",-323
